,일시,재난일어난날
0,1973-01-03,1973-01-03
16,1973-01-04,1973-01-04
18,1973-01-06,1973-01-06
19,1973-01-11,1973-01-11
22,1973-01-12,1973-01-12
27,1973-01-13,1973-01-13
29,1973-01-14,1973-01-14
31,1973-01-15,1973-01-15
32,1973-01-21,1973-01-21
33,1973-01-28,1973-01-28
35,1973-01-30,1973-01-30
38,1973-02-02,1973-02-02
39,1973-02-07,1973-02-07
40,1973-02-08,1973-02-08
45,1973-02-09,1973-02-09
50,1973-02-10,1973-02-10
52,1973-02-11,1973-02-11
53,1973-02-12,1973-02-12
54,1973-02-15,1973-02-15
55,1973-02-24,1973-02-24
56,1973-02-25,1973-02-25
61,1973-03-02,1973-03-02
62,1973-03-03,1973-03-03
63,1973-03-06,1973-03-06
64,1973-03-07,1973-03-07
65,1973-11-20,1973-11-20
66,1973-11-21,1973-11-21
67,1973-11-22,1973-11-22
69,1973-12-04,1973-12-04
70,1973-12-05,1973-12-05
76,1973-12-07,1973-12-07
79,1973-12-08,1973-12-08
87,1973-12-09,1973-12-09
89,1973-12-11,1973-12-11
96,1973-12-17,1973-12-17
105,1973-12-18,1973-12-18
106,1973-12-19,1973-12-19
111,1973-12-22,1973-12-22
117,1973-12-23,1973-12-23
126,1973-12-24,1973-12-24
167,1973-12-25,1973-12-25
197,1973-12-26,1973-12-26
226,1973-12-27,1973-12-27
228,1973-12-29,1973-12-29
249,1973-12-30,1973-12-30
255,1974-01-01,1974-01-01
261,1974-01-02,1974-01-02
262,1974-01-03,1974-01-03
264,1974-01-05,1974-01-05
265,1974-01-06,1974-01-06
266,1974-01-07,1974-01-07
269,1974-01-12,1974-01-12
272,1974-01-13,1974-01-13
280,1974-01-14,1974-01-14
283,1974-01-16,1974-01-16
291,1974-01-17,1974-01-17
295,1974-01-18,1974-01-18
310,1974-01-19,1974-01-19
320,1974-01-20,1974-01-20
323,1974-01-22,1974-01-22
324,1974-01-23,1974-01-23
338,1974-01-24,1974-01-24
377,1974-01-25,1974-01-25
407,1974-01-26,1974-01-26
439,1974-01-27,1974-01-27
458,1974-01-28,1974-01-28
492,1974-01-29,1974-01-29
520,1974-01-30,1974-01-30
526,1974-01-31,1974-01-31
534,1974-02-01,1974-02-01
551,1974-02-02,1974-02-02
567,1974-02-03,1974-02-03
577,1974-02-08,1974-02-08
578,1974-02-09,1974-02-09
597,1974-02-10,1974-02-10
608,1974-02-11,1974-02-11
619,1974-02-12,1974-02-12
641,1974-02-13,1974-02-13
660,1974-02-24,1974-02-24
661,1974-02-25,1974-02-25
663,1974-02-26,1974-02-26
702,1974-02-27,1974-02-27
718,1974-02-28,1974-02-28
724,1974-03-12,1974-03-12
725,1974-03-13,1974-03-13
729,1974-11-14,1974-11-14
730,1974-11-15,1974-11-15
731,1974-12-04,1974-12-04
732,1974-12-05,1974-12-05
733,1974-12-06,1974-12-06
738,1974-12-07,1974-12-07
739,1974-12-08,1974-12-08
740,1974-12-09,1974-12-09
741,1974-12-12,1974-12-12
742,1974-12-14,1974-12-14
743,1974-12-15,1974-12-15
758,1974-12-16,1974-12-16
760,1974-12-19,1974-12-19
771,1974-12-20,1974-12-20
776,1974-12-21,1974-12-21
785,1974-12-22,1974-12-22
791,1974-12-23,1974-12-23
798,1974-12-25,1974-12-25
802,1974-12-26,1974-12-26
806,1974-12-27,1974-12-27
808,1975-01-03,1975-01-03
809,1975-01-06,1975-01-06
810,1975-01-10,1975-01-10
811,1975-01-11,1975-01-11
815,1975-01-12,1975-01-12
826,1975-01-13,1975-01-13
830,1975-01-14,1975-01-14
842,1975-01-16,1975-01-16
846,1975-01-17,1975-01-17
858,1975-01-18,1975-01-18
870,1975-01-19,1975-01-19
880,1975-01-20,1975-01-20
898,1975-01-21,1975-01-21
909,1975-01-28,1975-01-28
910,1975-01-29,1975-01-29
923,1975-01-30,1975-01-30
926,1975-01-31,1975-01-31
940,1975-02-08,1975-02-08
942,1975-02-09,1975-02-09
946,1975-02-10,1975-02-10
949,1975-02-11,1975-02-11
957,1975-02-16,1975-02-16
960,1975-02-17,1975-02-17
964,1975-02-18,1975-02-18
966,1975-02-19,1975-02-19
968,1975-02-21,1975-02-21
969,1975-02-22,1975-02-22
974,1975-02-23,1975-02-23
989,1975-02-26,1975-02-26
990,1975-03-13,1975-03-13
991,1975-03-25,1975-03-25
992,1975-11-30,1975-11-30
993,1975-12-11,1975-12-11
995,1975-12-12,1975-12-12
1001,1975-12-13,1975-12-13
1009,1975-12-14,1975-12-14
1014,1975-12-15,1975-12-15
1021,1975-12-16,1975-12-16
1023,1975-12-17,1975-12-17
1038,1975-12-18,1975-12-18
1046,1975-12-19,1975-12-19
1050,1975-12-22,1975-12-22
1051,1975-12-23,1975-12-23
1068,1975-12-24,1975-12-24
1094,1975-12-25,1975-12-25
1101,1975-12-26,1975-12-26
1118,1975-12-27,1975-12-27
1133,1975-12-28,1975-12-28
1150,1975-12-29,1975-12-29
1164,1975-12-30,1975-12-30
1170,1975-12-31,1975-12-31
1174,1976-01-06,1976-01-06
1178,1976-01-09,1976-01-09
1180,1976-01-10,1976-01-10
1205,1976-01-11,1976-01-11
1217,1976-01-12,1976-01-12
1245,1976-01-13,1976-01-13
1251,1976-01-15,1976-01-15
1271,1976-01-16,1976-01-16
1286,1976-01-18,1976-01-18
1293,1976-01-19,1976-01-19
1303,1976-01-20,1976-01-20
1341,1976-01-21,1976-01-21
1376,1976-01-22,1976-01-22
1395,1976-01-23,1976-01-23
1431,1976-01-24,1976-01-24
1464,1976-01-26,1976-01-26
1466,1976-01-27,1976-01-27
1486,1976-01-28,1976-01-28
1494,1976-01-30,1976-01-30
1509,1976-01-31,1976-01-31
1511,1976-02-06,1976-02-06
1512,1976-02-07,1976-02-07
1513,1976-02-11,1976-02-11
1514,1976-02-12,1976-02-12
1515,1976-02-20,1976-02-20
1516,1976-02-21,1976-02-21
1517,1976-02-24,1976-02-24
1518,1976-02-26,1976-02-26
1519,1976-02-27,1976-02-27
1520,1976-03-04,1976-03-04
1521,1976-03-20,1976-03-20
1522,1976-03-24,1976-03-24
1523,1976-11-23,1976-11-23
1524,1976-11-24,1976-11-24
1525,1976-11-27,1976-11-27
1526,1976-11-29,1976-11-29
1527,1976-11-30,1976-11-30
1528,1976-12-09,1976-12-09
1536,1976-12-12,1976-12-12
1537,1976-12-19,1976-12-19
1538,1976-12-26,1976-12-26
1558,1976-12-27,1976-12-27
1598,1976-12-28,1976-12-28
1627,1976-12-29,1976-12-29
1662,1976-12-30,1976-12-30
1676,1976-12-31,1976-12-31
1698,1977-01-01,1977-01-01
1735,1977-01-02,1977-01-02
1763,1977-01-03,1977-01-03
1787,1977-01-04,1977-01-04
1824,1977-01-05,1977-01-05
1838,1977-01-06,1977-01-06
1867,1977-01-07,1977-01-07
1869,1977-01-08,1977-01-08
1870,1977-01-10,1977-01-10
1871,1977-01-12,1977-01-12
1882,1977-01-13,1977-01-13
1896,1977-01-14,1977-01-14
1926,1977-01-15,1977-01-15
1931,1977-01-16,1977-01-16
1945,1977-01-17,1977-01-17
1965,1977-01-18,1977-01-18
1974,1977-01-19,1977-01-19
1992,1977-01-20,1977-01-20
2006,1977-01-21,1977-01-21
2016,1977-01-22,1977-01-22
2027,1977-01-23,1977-01-23
2045,1977-01-24,1977-01-24
2061,1977-01-27,1977-01-27
2067,1977-01-28,1977-01-28
2091,1977-01-29,1977-01-29
2127,1977-01-30,1977-01-30
2151,1977-01-31,1977-01-31
2189,1977-02-01,1977-02-01
2214,1977-02-02,1977-02-02
2236,1977-02-03,1977-02-03
2264,1977-02-04,1977-02-04
2283,1977-02-05,1977-02-05
2310,1977-02-06,1977-02-06
2339,1977-02-07,1977-02-07
2358,1977-02-08,1977-02-08
2368,1977-02-11,1977-02-11
2377,1977-02-14,1977-02-14
2378,1977-02-15,1977-02-15
2388,1977-02-16,1977-02-16
2436,1977-02-17,1977-02-17
2483,1977-02-18,1977-02-18
2515,1977-02-19,1977-02-19
2539,1977-02-22,1977-02-22
2556,1977-03-04,1977-03-04
2561,1977-03-05,1977-03-05
2571,1977-11-30,1977-11-30
2574,1977-12-01,1977-12-01
2575,1977-12-21,1977-12-21
2576,1977-12-22,1977-12-22
2581,1977-12-23,1977-12-23
2582,1977-12-26,1977-12-26
2594,1977-12-27,1977-12-27
2595,1977-12-28,1977-12-28
2598,1978-01-03,1978-01-03
2599,1978-01-04,1978-01-04
2603,1978-01-05,1978-01-05
2604,1978-01-10,1978-01-10
2609,1978-01-16,1978-01-16
2614,1978-01-17,1978-01-17
2618,1978-01-19,1978-01-19
2624,1978-01-20,1978-01-20
2634,1978-01-21,1978-01-21
2635,1978-01-22,1978-01-22
2657,1978-01-23,1978-01-23
2670,1978-01-28,1978-01-28
2671,1978-01-31,1978-01-31
2699,1978-02-01,1978-02-01
2728,1978-02-02,1978-02-02
2757,1978-02-03,1978-02-03
2783,1978-02-04,1978-02-04
2794,1978-02-13,1978-02-13
2796,1978-02-14,1978-02-14
2797,1978-02-15,1978-02-15
2821,1978-02-16,1978-02-16
2844,1978-02-17,1978-02-17
2857,1978-02-18,1978-02-18
2878,1978-02-20,1978-02-20
2879,1978-02-22,1978-02-22
2880,1978-02-24,1978-02-24
2881,1978-03-01,1978-03-01
2890,1978-03-05,1978-03-05
2891,1978-03-11,1978-03-11
2892,1978-03-12,1978-03-12
2893,1978-03-13,1978-03-13
2894,1978-03-15,1978-03-15
2895,1978-11-29,1978-11-29
2897,1978-12-19,1978-12-19
2898,1978-12-20,1978-12-20
2900,1978-12-21,1978-12-21
2904,1978-12-23,1978-12-23
2905,1978-12-24,1978-12-24
2908,1978-12-30,1978-12-30
2925,1978-12-31,1978-12-31
2940,1979-01-01,1979-01-01
2950,1979-01-02,1979-01-02
2955,1979-01-06,1979-01-06
2956,1979-01-14,1979-01-14
2957,1979-01-15,1979-01-15
2963,1979-01-16,1979-01-16
2970,1979-01-19,1979-01-19
2982,1979-01-20,1979-01-20
2983,1979-01-22,1979-01-22
2996,1979-02-01,1979-02-01
2998,1979-02-02,1979-02-02
3021,1979-02-03,1979-02-03
3033,1979-02-04,1979-02-04
3043,1979-02-05,1979-02-05
3056,1979-02-15,1979-02-15
3057,1979-02-28,1979-02-28
3058,1979-03-01,1979-03-01
3059,1979-03-02,1979-03-02
3060,1979-03-03,1979-03-03
3061,1979-03-04,1979-03-04
3062,1979-04-30,1979-04-30
3063,1979-11-14,1979-11-14
3071,1979-11-24,1979-11-24
3072,1979-11-30,1979-11-30
3073,1979-12-03,1979-12-03
3074,1979-12-11,1979-12-11
3075,1979-12-12,1979-12-12
3076,1979-12-13,1979-12-13
3077,1979-12-17,1979-12-17
3078,1979-12-22,1979-12-22
3079,1979-12-24,1979-12-24
3084,1979-12-25,1979-12-25
3087,1979-12-26,1979-12-26
3095,1979-12-27,1979-12-27
3102,1979-12-28,1979-12-28
3114,1979-12-29,1979-12-29
3116,1980-01-05,1980-01-05
3120,1980-01-07,1980-01-07
3133,1980-01-08,1980-01-08
3140,1980-01-10,1980-01-10
3141,1980-01-11,1980-01-11
3158,1980-01-12,1980-01-12
3172,1980-01-14,1980-01-14
3183,1980-01-15,1980-01-15
3197,1980-01-16,1980-01-16
3217,1980-01-17,1980-01-17
3232,1980-01-18,1980-01-18
3270,1980-01-19,1980-01-19
3272,1980-01-20,1980-01-20
3274,1980-01-21,1980-01-21
3286,1980-01-22,1980-01-22
3302,1980-01-23,1980-01-23
3314,1980-01-24,1980-01-24
3322,1980-01-25,1980-01-25
3339,1980-01-26,1980-01-26
3348,1980-01-30,1980-01-30
3354,1980-01-31,1980-01-31
3375,1980-02-01,1980-02-01
3399,1980-02-02,1980-02-02
3407,1980-02-03,1980-02-03
3410,1980-02-04,1980-02-04
3425,1980-02-05,1980-02-05
3451,1980-02-06,1980-02-06
3480,1980-02-07,1980-02-07
3515,1980-02-08,1980-02-08
3546,1980-02-09,1980-02-09
3580,1980-02-10,1980-02-10
3594,1980-02-11,1980-02-11
3595,1980-02-12,1980-02-12
3601,1980-02-13,1980-02-13
3611,1980-02-14,1980-02-14
3624,1980-02-15,1980-02-15
3632,1980-02-16,1980-02-16
3644,1980-02-17,1980-02-17
3657,1980-02-18,1980-02-18
3659,1980-02-21,1980-02-21
3661,1980-02-22,1980-02-22
3662,1980-03-12,1980-03-12
3663,1980-12-04,1980-12-04
3675,1980-12-05,1980-12-05
3683,1980-12-12,1980-12-12
3684,1980-12-13,1980-12-13
3707,1980-12-14,1980-12-14
3714,1980-12-15,1980-12-15
3731,1980-12-16,1980-12-16
3739,1980-12-17,1980-12-17
3745,1980-12-18,1980-12-18
3746,1980-12-19,1980-12-19
3751,1980-12-20,1980-12-20
3752,1980-12-21,1980-12-21
3770,1980-12-22,1980-12-22
3781,1980-12-24,1980-12-24
3782,1980-12-25,1980-12-25
3783,1980-12-26,1980-12-26
3784,1980-12-27,1980-12-27
3801,1980-12-28,1980-12-28
3820,1980-12-29,1980-12-29
3840,1980-12-30,1980-12-30
3867,1980-12-31,1980-12-31
3889,1981-01-01,1981-01-01
3899,1981-01-02,1981-01-02
3900,1981-01-03,1981-01-03
3913,1981-01-04,1981-01-04
3942,1981-01-05,1981-01-05
3965,1981-01-06,1981-01-06
3993,1981-01-07,1981-01-07
4018,1981-01-08,1981-01-08
4040,1981-01-09,1981-01-09
4045,1981-01-10,1981-01-10
4050,1981-01-11,1981-01-11
4062,1981-01-12,1981-01-12
4082,1981-01-13,1981-01-13
4098,1981-01-14,1981-01-14
4130,1981-01-15,1981-01-15
4132,1981-01-16,1981-01-16
4142,1981-01-17,1981-01-17
4176,1981-01-18,1981-01-18
4186,1981-01-19,1981-01-19
4192,1981-01-20,1981-01-20
4211,1981-01-21,1981-01-21
4229,1981-01-22,1981-01-22
4259,1981-01-23,1981-01-23
4293,1981-01-25,1981-01-25
4306,1981-01-26,1981-01-26
4330,1981-01-27,1981-01-27
4365,1981-01-28,1981-01-28
4390,1981-01-29,1981-01-29
4409,1981-01-30,1981-01-30
4432,1981-01-31,1981-01-31
4452,1981-02-02,1981-02-02
4473,1981-02-03,1981-02-03
4478,1981-02-04,1981-02-04
4498,1981-02-05,1981-02-05
4520,1981-02-06,1981-02-06
4536,1981-02-08,1981-02-08
4538,1981-02-09,1981-02-09
4540,1981-02-11,1981-02-11
4547,1981-02-12,1981-02-12
4548,1981-02-25,1981-02-25
4549,1981-02-26,1981-02-26
4589,1981-02-27,1981-02-27
4625,1981-02-28,1981-02-28
4630,1981-03-01,1981-03-01
4631,1981-03-02,1981-03-02
4633,1981-11-08,1981-11-08
4634,1981-11-09,1981-11-09
4635,1981-11-28,1981-11-28
4636,1981-11-29,1981-11-29
4637,1981-11-30,1981-11-30
4638,1981-12-02,1981-12-02
4663,1981-12-03,1981-12-03
4682,1981-12-10,1981-12-10
4683,1981-12-14,1981-12-14
4688,1981-12-15,1981-12-15
4699,1981-12-16,1981-12-16
4702,1981-12-17,1981-12-17
4709,1981-12-18,1981-12-18
4710,1981-12-20,1981-12-20
4711,1981-12-21,1981-12-21
4715,1981-12-24,1981-12-24
4716,1981-12-30,1981-12-30
4717,1982-01-03,1982-01-03
4718,1982-01-07,1982-01-07
4719,1982-01-10,1982-01-10
4720,1982-01-12,1982-01-12
4724,1982-01-13,1982-01-13
4744,1982-01-14,1982-01-14
4763,1982-01-15,1982-01-15
4772,1982-01-16,1982-01-16
4786,1982-01-17,1982-01-17
4811,1982-01-18,1982-01-18
4813,1982-01-19,1982-01-19
4825,1982-01-20,1982-01-20
4853,1982-01-21,1982-01-21
4857,1982-01-25,1982-01-25
4858,1982-01-28,1982-01-28
4869,1982-01-29,1982-01-29
4904,1982-01-30,1982-01-30
4934,1982-01-31,1982-01-31
4944,1982-02-02,1982-02-02
4963,1982-02-05,1982-02-05
4964,1982-02-06,1982-02-06
4973,1982-02-07,1982-02-07
4996,1982-02-08,1982-02-08
5013,1982-02-09,1982-02-09
5021,1982-02-10,1982-02-10
5033,1982-02-11,1982-02-11
5050,1982-02-12,1982-02-12
5055,1982-02-13,1982-02-13
5056,1982-02-16,1982-02-16
5057,1982-02-26,1982-02-26
5058,1982-03-02,1982-03-02
5059,1982-03-07,1982-03-07
5060,1982-03-18,1982-03-18
5061,1982-11-25,1982-11-25
5062,1982-11-26,1982-11-26
5063,1982-11-27,1982-11-27
5064,1982-12-06,1982-12-06
5068,1982-12-07,1982-12-07
5070,1982-12-12,1982-12-12
5071,1982-12-13,1982-12-13
5077,1982-12-14,1982-12-14
5085,1982-12-15,1982-12-15
5087,1982-12-18,1982-12-18
5099,1982-12-19,1982-12-19
5109,1982-12-25,1982-12-25
5110,1982-12-31,1982-12-31
5111,1983-01-01,1983-01-01
5112,1983-01-03,1983-01-03
5113,1983-01-08,1983-01-08
5114,1983-01-09,1983-01-09
5138,1983-01-10,1983-01-10
5151,1983-01-11,1983-01-11
5172,1983-01-12,1983-01-12
5176,1983-01-13,1983-01-13
5177,1983-01-14,1983-01-14
5188,1983-01-15,1983-01-15
5189,1983-01-19,1983-01-19
5190,1983-01-20,1983-01-20
5205,1983-01-21,1983-01-21
5229,1983-01-22,1983-01-22
5257,1983-01-23,1983-01-23
5276,1983-01-24,1983-01-24
5277,1983-01-26,1983-01-26
5278,1983-01-31,1983-01-31
5279,1983-02-04,1983-02-04
5280,1983-02-08,1983-02-08
5282,1983-02-09,1983-02-09
5290,1983-02-10,1983-02-10
5310,1983-02-11,1983-02-11
5316,1983-02-12,1983-02-12
5334,1983-02-13,1983-02-13
5362,1983-02-14,1983-02-14
5385,1983-02-16,1983-02-16
5386,1983-02-17,1983-02-17
5387,1983-02-18,1983-02-18
5388,1983-02-19,1983-02-19
5398,1983-02-20,1983-02-20
5408,1983-02-21,1983-02-21
5429,1983-02-22,1983-02-22
5441,1983-02-23,1983-02-23
5442,1983-02-24,1983-02-24
5444,1983-02-25,1983-02-25
5446,1983-02-26,1983-02-26
5448,1983-02-27,1983-02-27
5449,1983-03-05,1983-03-05
5450,1983-03-06,1983-03-06
5451,1983-03-08,1983-03-08
5452,1983-03-14,1983-03-14
5453,1983-11-27,1983-11-27
5454,1983-11-28,1983-11-28
5455,1983-12-04,1983-12-04
5456,1983-12-06,1983-12-06
5457,1983-12-07,1983-12-07
5458,1983-12-16,1983-12-16
5460,1983-12-17,1983-12-17
5461,1983-12-18,1983-12-18
5483,1983-12-19,1983-12-19
5485,1983-12-20,1983-12-20
5494,1983-12-21,1983-12-21
5501,1983-12-23,1983-12-23
5506,1983-12-24,1983-12-24
5522,1983-12-25,1983-12-25
5547,1983-12-26,1983-12-26
5579,1983-12-27,1983-12-27
5588,1983-12-28,1983-12-28
5601,1983-12-29,1983-12-29
5617,1983-12-30,1983-12-30
5631,1983-12-31,1983-12-31
5647,1984-01-01,1984-01-01
5657,1984-01-04,1984-01-04
5663,1984-01-05,1984-01-05
5689,1984-01-06,1984-01-06
5723,1984-01-07,1984-01-07
5746,1984-01-08,1984-01-08
5756,1984-01-09,1984-01-09
5765,1984-01-11,1984-01-11
5775,1984-01-12,1984-01-12
5792,1984-01-13,1984-01-13
5795,1984-01-14,1984-01-14
5811,1984-01-16,1984-01-16
5832,1984-01-17,1984-01-17
5857,1984-01-18,1984-01-18
5876,1984-01-19,1984-01-19
5887,1984-01-20,1984-01-20
5918,1984-01-21,1984-01-21
5933,1984-01-22,1984-01-22
5938,1984-01-23,1984-01-23
5967,1984-01-24,1984-01-24
5989,1984-01-25,1984-01-25
6003,1984-01-26,1984-01-26
6027,1984-01-27,1984-01-27
6051,1984-01-28,1984-01-28
6068,1984-01-29,1984-01-29
6105,1984-01-30,1984-01-30
6107,1984-02-01,1984-02-01
6128,1984-02-02,1984-02-02
6140,1984-02-03,1984-02-03
6179,1984-02-04,1984-02-04
6192,1984-02-05,1984-02-05
6195,1984-02-06,1984-02-06
6220,1984-02-07,1984-02-07
6261,1984-02-08,1984-02-08
6293,1984-02-09,1984-02-09
6314,1984-02-10,1984-02-10
6345,1984-02-11,1984-02-11
6354,1984-02-13,1984-02-13
6358,1984-02-14,1984-02-14
6359,1984-02-15,1984-02-15
6365,1984-02-16,1984-02-16
6384,1984-02-18,1984-02-18
6393,1984-02-19,1984-02-19
6404,1984-02-20,1984-02-20
6409,1984-02-21,1984-02-21
6410,1984-02-27,1984-02-27
6411,1984-02-28,1984-02-28
6416,1984-02-29,1984-02-29
6419,1984-03-01,1984-03-01
6420,1984-03-03,1984-03-03
6423,1984-03-04,1984-03-04
6430,1984-03-05,1984-03-05
6435,1984-03-06,1984-03-06
6436,1984-03-07,1984-03-07
6437,1984-03-11,1984-03-11
6438,1984-03-22,1984-03-22
6439,1984-03-26,1984-03-26
6440,1984-11-03,1984-11-03
6441,1984-11-22,1984-11-22
6442,1984-12-06,1984-12-06
6443,1984-12-19,1984-12-19
6445,1984-12-20,1984-12-20
6446,1984-12-22,1984-12-22
6450,1984-12-23,1984-12-23
6465,1984-12-24,1984-12-24
6481,1984-12-25,1984-12-25
6507,1984-12-26,1984-12-26
6510,1984-12-27,1984-12-27
6513,1984-12-28,1984-12-28
6526,1984-12-29,1984-12-29
6549,1984-12-30,1984-12-30
6571,1985-01-01,1985-01-01
6574,1985-01-02,1985-01-02
6575,1985-01-03,1985-01-03
6577,1985-01-04,1985-01-04
6580,1985-01-05,1985-01-05
6598,1985-01-06,1985-01-06
6603,1985-01-07,1985-01-07
6619,1985-01-08,1985-01-08
6646,1985-01-09,1985-01-09
6665,1985-01-10,1985-01-10
6668,1985-01-11,1985-01-11
6697,1985-01-13,1985-01-13
6720,1985-01-14,1985-01-14
6754,1985-01-15,1985-01-15
6786,1985-01-16,1985-01-16
6804,1985-01-17,1985-01-17
6841,1985-01-18,1985-01-18
6872,1985-01-19,1985-01-19
6873,1985-01-21,1985-01-21
6894,1985-01-23,1985-01-23
6904,1985-01-25,1985-01-25
6926,1985-01-26,1985-01-26
6928,1985-01-28,1985-01-28
6938,1985-01-29,1985-01-29
6967,1985-01-30,1985-01-30
7009,1985-01-31,1985-01-31
7031,1985-02-02,1985-02-02
7036,1985-02-14,1985-02-14
7042,1985-02-17,1985-02-17
7043,1985-02-21,1985-02-21
7046,1985-02-22,1985-02-22
7053,1985-02-23,1985-02-23
7064,1985-02-24,1985-02-24
7080,1985-02-25,1985-02-25
7090,1985-02-26,1985-02-26
7091,1985-02-27,1985-02-27
7092,1985-03-10,1985-03-10
7093,1985-03-12,1985-03-12
7094,1985-12-07,1985-12-07
7095,1985-12-09,1985-12-09
7104,1985-12-10,1985-12-10
7124,1985-12-11,1985-12-11
7126,1985-12-12,1985-12-12
7137,1985-12-15,1985-12-15
7150,1985-12-16,1985-12-16
7171,1985-12-17,1985-12-17
7189,1985-12-18,1985-12-18
7215,1985-12-19,1985-12-19
7217,1985-12-20,1985-12-20
7231,1985-12-21,1985-12-21
7245,1985-12-24,1985-12-24
7268,1985-12-26,1985-12-26
7274,1985-12-27,1985-12-27
7275,1985-12-28,1985-12-28
7277,1986-01-01,1986-01-01
7282,1986-01-02,1986-01-02
7312,1986-01-03,1986-01-03
7318,1986-01-04,1986-01-04
7324,1986-01-05,1986-01-05
7357,1986-01-06,1986-01-06
7391,1986-01-07,1986-01-07
7398,1986-01-08,1986-01-08
7404,1986-01-09,1986-01-09
7427,1986-01-10,1986-01-10
7449,1986-01-11,1986-01-11
7481,1986-01-12,1986-01-12
7521,1986-01-14,1986-01-14
7542,1986-01-15,1986-01-15
7548,1986-01-16,1986-01-16
7550,1986-01-22,1986-01-22
7556,1986-01-23,1986-01-23
7564,1986-01-24,1986-01-24
7572,1986-01-25,1986-01-25
7581,1986-01-26,1986-01-26
7596,1986-01-27,1986-01-27
7612,1986-01-28,1986-01-28
7613,1986-01-29,1986-01-29
7616,1986-02-01,1986-02-01
7629,1986-02-02,1986-02-02
7644,1986-02-03,1986-02-03
7653,1986-02-04,1986-02-04
7675,1986-02-05,1986-02-05
7693,1986-02-06,1986-02-06
7718,1986-02-07,1986-02-07
7741,1986-02-08,1986-02-08
7759,1986-02-09,1986-02-09
7771,1986-02-10,1986-02-10
7790,1986-02-11,1986-02-11
7799,1986-02-12,1986-02-12
7810,1986-02-16,1986-02-16
7813,1986-02-17,1986-02-17
7815,1986-02-21,1986-02-21
7816,1986-02-24,1986-02-24
7822,1986-02-25,1986-02-25
7824,1986-02-27,1986-02-27
7829,1986-02-28,1986-02-28
7845,1986-03-01,1986-03-01
7846,1986-03-02,1986-03-02
7849,1986-11-27,1986-11-27
7851,1986-11-29,1986-11-29
7852,1986-12-22,1986-12-22
7853,1986-12-26,1986-12-26
7856,1986-12-27,1986-12-27
7857,1986-12-28,1986-12-28
7858,1986-12-29,1986-12-29
7866,1987-01-01,1987-01-01
7867,1987-01-04,1987-01-04
7875,1987-01-10,1987-01-10
7881,1987-01-11,1987-01-11
7892,1987-01-12,1987-01-12
7893,1987-01-13,1987-01-13
7916,1987-01-14,1987-01-14
7945,1987-01-18,1987-01-18
7950,1987-01-19,1987-01-19
7955,1987-01-20,1987-01-20
7964,1987-01-21,1987-01-21
7970,1987-01-22,1987-01-22
7971,1987-01-24,1987-01-24
7972,1987-01-25,1987-01-25
7981,1987-01-26,1987-01-26
7994,1987-01-31,1987-01-31
8001,1987-02-01,1987-02-01
8022,1987-02-02,1987-02-02
8023,1987-02-03,1987-02-03
8025,1987-02-04,1987-02-04
8043,1987-02-05,1987-02-05
8054,1987-02-06,1987-02-06
8056,1987-02-15,1987-02-15
8057,1987-02-16,1987-02-16
8058,1987-02-25,1987-02-25
8060,1987-02-26,1987-02-26
8063,1987-02-27,1987-02-27
8065,1987-02-28,1987-02-28
8066,1987-03-02,1987-03-02
8070,1987-11-29,1987-11-29
8071,1987-11-30,1987-11-30
8075,1987-12-01,1987-12-01
8080,1987-12-02,1987-12-02
8093,1987-12-04,1987-12-04
8100,1987-12-07,1987-12-07
8101,1987-12-12,1987-12-12
